"chemical"	"gene"	"RQ"	"RQ2"	"RQ3"	"RQ4"	"RQ5"	"RQ6"	"chemicalgroup"	"average_RQ"	"SEM"
"0.1 uM 9p"	"LPL"	0.97	1.06	1.02	NA	NA	NA	"uM p"	1.02	0.0260341655863555
"0.1 uM 9p"	"PPARγ"	1.13	1.2	0.88	0.95	1.55	0.91	"uM p"	1.1	0.103333333333333
"0.1 uM 9p"	"Plin"	1.09	0.99	0.74	NA	NA	NA	"uM p"	0.94	0.104083299973307
"0.1 uM 9p"	"Resistin"	1.18	1.04	1.03	0.69	1.61	1.06	"uM p"	1.1	0.121748830703945
"0.1 uM Phe "	"Adiponectin"	0.87	0.91	1.81	NA	NA	NA	"uM Phe"	1.2	0.306883980972904
"0.1 uM Phe "	"AhR"	0.83	1	1.22	0.9	1.13	0.64	"uM Phe"	0.95	0.0857774899246753
"0.1 uM Phe "	"CEBPA"	1.24	1.01	1.42	NA	NA	NA	"uM Phe"	1.22	0.118649811537051
"0.1 uM Phe "	"CYP1A1"	0.39	0.6	0.96	0.98	NA	NA	"uM Phe"	0.73	0.143722823518048
"0.1 uM Phe "	"FABP4"	0.8	0.79	1.07	1.21	1.56	0.705	"uM Phe"	1.02	0.133002192964377
"0.1 uM Phe "	"LPL"	0.82	0.93	1.38	NA	NA	NA	"uM Phe"	1.04	0.171302202100395
"0.1 uM Phe "	"PPARγ"	0.75	1.04	0.99	0.79	NA	0.91	"uM Phe"	0.9	0.0558211429478115
"0.1 uM Phe "	"Plin"	0.99	1.17	1.02	NA	NA	NA	"uM Phe"	1.06	0.0556776436283002
"0.1 uM Phe "	"Resistin"	0.38	0.58	1.04	1.16	1.57	0.61	"uM Phe"	0.89	0.181879080710235
"1 uM 9p "	"Adiponectin"	1.94	1.17	1.22	NA	NA	NA	"uM p"	1.44	0.248752442757408
"1 uM 9p "	"AhR"	1.16	0.92	1.24	0.87	1.11	0.88	"uM p"	1.03	0.0652175845407765
"1 uM 9p "	"CEBPA"	1.68	1.37	1.46	NA	NA	NA	"uM p"	1.5	0.0920748487795542
"1 uM 9p "	"CYP1A1"	2.89	1.52	1.07	2.29	NA	NA	"uM p"	1.94	0.403967304782619
"1 uM 9p "	"FABP4"	1.56	1.5	1.11	0.82	1.065	0.74	"uM p"	1.13	0.138394062974777
"1 uM 9p "	"LPL"	1.08	1.17	0.97	NA	NA	NA	"uM p"	1.07	0.0578311719096582
"1 uM 9p "	"PPARγ"	1.44	1.09	1.06	0.9	0.86	0.68	"uM p"	1.01	0.10601100571796
"1 uM 9p "	"Plin"	1.42	1	1.16	NA	NA	NA	"uM p"	1.19	0.122383731671239
"1 uM 9p "	"Resistin"	1.62	1.11	0.78	0.89	0.92	0.92	"uM p"	1.04	0.123854753643128
"1 uM Phe "	"Adiponectin"	1.11	0.91	1.27	NA	NA	NA	"uM Phe"	1.1	0.104136662345422
"1 uM Phe "	"AhR"	1.22	1.17	1.21	1.01	1.3	0.64	"uM Phe"	1.09	0.0984349757171934
"1 uM Phe "	"CEBPA"	1.31	0.99	1.5	NA	NA	NA	"uM Phe"	1.27	0.148810095236998
"1 uM Phe "	"CYP1A1"	0.58	1.42	0.65	1.32	NA	NA	"uM Phe"	0.99	0.21936936127606
"1 uM Phe "	"FABP4"	1.21	0.71	0.79	1.6	2.15	0.495	"uM Phe"	1.16	0.255461727944607
"1 uM Phe "	"LPL"	1.29	0.97	1.18	NA	NA	NA	"uM Phe"	1.15	0.0938675189355248
"1 uM Phe "	"PPARγ"	1.02	0.98	0.77	0.735	NA	0.68	"uM Phe"	0.84	0.0683666585405488
"1 uM Phe "	"Plin"	0.84	1.06	0.88	NA	NA	NA	"uM Phe"	0.93	0.0676592771006148
"1 uM Phe "	"Resistin"	0.95	0.59	0.47	1.02	1.65	0.56	"uM Phe"	0.87	0.179975306948234
"10 uM 9p "	"Adiponectin"	1.55	1.74	2.14	NA	NA	NA	"uM p"	1.81	0.173877351409933
"10 uM 9p "	"AhR"	1.54	1.12	1.71	0.61	1.24	0.885	"uM p"	1.18	0.166284979611643
"10 uM 9p "	"CEBPA"	1.76	2.15	1.36	NA	NA	NA	"uM p"	1.76	0.228059446441298
"10 uM 9p "	"CYP1A1"	2.74	5.51	1.82	2.19	NA	NA	"uM p"	3.06	0.836625164973339
"10 uM 9p "	"FABP4"	1.33	1	1.16	1.2	0.875	1.26	"uM p"	1.14	0.0693511595673305
"10 uM 9p "	"LPL"	1	1.43	1.34	NA	NA	NA	"uM p"	1.26	0.130936795609349
"10 uM 9p "	"PPARγ"	0.89	0.86	1	0.91	0.64	0.99	"uM p"	0.88	0.0533801877520531
"10 uM 9p "	"Plin"	0.87	0.93	1.02	NA	NA	NA	"uM p"	0.94	0.0435889894354067
"10 uM 9p "	"Resistin"	1.22	1.32	1.34	1.22	0.82	1.02	"uM p"	1.16	0.0817176711475418
"10 uM Phe "	"Adiponectin"	1.18	1.69	1.71	NA	NA	NA	"uM Phe"	1.53	0.173429460524381
"10 uM Phe "	"AhR"	1.18	1.37	1.9	1.18	1.72	0.78	"uM Phe"	1.35	0.165564690277446
"10 uM Phe "	"CEBPA"	1.53	1.46	1	NA	NA	NA	"uM Phe"	1.33	0.166232768530556
"10 uM Phe "	"CYP1A1"	1.44	2.39	0.85	1.98	NA	NA	"uM Phe"	1.67	0.334128218902066
"10 uM Phe "	"FABP4"	0.95	1.11	0.95	1.91	1.91	1.415	"uM Phe"	1.37	0.183077472975544
"10 uM Phe "	"LPL"	0.95	1.4	1.45	NA	NA	NA	"uM Phe"	1.27	0.158989866902824
"10 uM Phe "	"PPARγ"	0.85	1.17	0.69	0.965	NA	0.99	"uM Phe"	0.93	0.0794921379760288
"10 uM Phe "	"Plin"	0.89	1.31	0.98	NA	NA	NA	"uM Phe"	1.06	0.127671453348037
"10 uM Phe "	"Resistin"	0.8	1.16	0.95	1.27	6.59	1.12	"uM Phe"	1.98	0.924147955927212
"20 uM 9p "	"Adiponectin"	0.35	1.33	1.42	NA	NA	NA	"uM p"	1.03	0.342653047718988
"20 uM 9p "	"AhR"	1.69	1.71	2.43	0.3	1.32	0.63	"uM p"	1.35	0.317979733805649
"20 uM 9p "	"CEBPA"	0.91	1.81	1.29	NA	NA	NA	"uM p"	1.34	0.260853300620185
"20 uM 9p "	"CYP1A1"	1.55	5.31	1.69	2.16	NA	NA	"uM p"	2.68	0.887143120734567
"20 uM 9p "	"FABP4"	0.28	0.67	0.48	0.64	0.52	1.215	"uM p"	0.63	0.129218269262172
"20 uM 9p "	"LPL"	0.46	0.94	0.78	NA	NA	NA	"uM p"	0.73	0.141106736590111
"20 uM 9p "	"PPARγ"	0.35	0.52	0.48	0.36	0.51	0.86	"uM p"	0.51	0.0756159889029944
"20 uM 9p "	"Plin"	0.42	0.72	0.82	NA	NA	NA	"uM p"	0.65	0.120185042515466
"20 uM 9p "	"Resistin"	0.19	0.66	0.85	1.45	0.68	1.05	"uM p"	0.81	0.172485104026728
"20 uM Phe "	"Adiponectin"	0.86	1.39	2.45	NA	NA	NA	"uM Phe"	1.57	0.467416064954744
"20 uM Phe "	"AhR"	1.54	1.35	2.05	0.97	1.47	0.85	"uM Phe"	1.37	0.176265267266255
"20 uM Phe "	"CEBPA"	1.14	1.6	2.55	NA	NA	NA	"uM Phe"	1.76	0.415143884026303
"20 uM Phe "	"CYP1A1"	1.01	2.75	1.3	1.36	NA	NA	"uM Phe"	1.6	0.389240713869109
"20 uM Phe "	"FABP4"	0.7	0.72	0.65	1.44	1.14	1.405	"uM Phe"	1.01	0.149177839432597
"20 uM Phe "	"LPL"	0.91	1.27	1.45	NA	NA	NA	"uM Phe"	1.21	0.158745078663875
"20 uM Phe "	"PPARγ"	0.55	0.81	0.64	0.745	NA	0.86	"uM Phe"	0.72	0.0564003546088143
"20 uM Phe "	"Plin"	0.47	1.3	1.49	NA	NA	NA	"uM Phe"	1.09	0.313173718210481
"20 uM Phe "	"Resistin"	0.46	0.84	0.98	0.94	3.08	0.91	"uM Phe"	1.2	0.383478957846596
"20 uM BaP"	"CYP1A1"	NA	NA	NA	550.72	NA	NA	"uM BaP"	550.72	NA
"20 uM BaP"	"FABP4"	NA	NA	NA	0	NA	0	"uM BaP"	0	0
"20 uM BaP"	"PPARγ"	NA	NA	NA	0.01	NA	NA	"uM BaP"	0.01	NA
"50 uM 9p "	"AhR"	NA	NA	NA	0.14	1.44	0.575	"uM p"	0.72	0.382059477626775
"50 uM 9p "	"CYP1A1"	NA	NA	NA	2.53	NA	NA	"uM p"	2.53	NA
"50 uM 9p "	"FABP4"	NA	NA	NA	0.43	0.6	0.565	"uM p"	0.53	0.0518277060182207
"50 uM 9p "	"PPARγ"	NA	NA	NA	0.23	0.35	0.6	"uM p"	0.39	0.108985218161812
"50 uM 9p "	"Resistin"	NA	NA	NA	1.23	0.35	0.68	"uM p"	0.75	0.256666666666667
"50 uM Phe "	"AhR"	NA	NA	NA	0.49	1.83	0.96	"uM Phe"	1.09	0.39252742296275
"50 uM Phe "	"CYP1A1"	NA	NA	NA	11.58	NA	NA	"uM Phe"	11.58	NA
"50 uM Phe "	"FABP4"	NA	NA	NA	2.415	1.83	0.75	"uM Phe"	1.67	0.487673046210266
"50 uM Phe "	"PPARγ"	NA	NA	NA	2.38	NA	0.6	"uM Phe"	1.49	0.89
"50 uM Phe "	"Resistin"	NA	NA	NA	1.07	4.06	0.38	"uM Phe"	1.84	1.12937052280364
"MI"	"CYP1A1"	NA	NA	NA	0.33	NA	NA	"MI"	0.33	NA
"MI"	"FABP4"	NA	NA	NA	0.03	NA	NA	"MI"	0.03	NA
"MI"	"PPARγ"	NA	NA	NA	0.13	NA	NA	"MI"	0.13	NA
"20 uM BaP"	"AhR"	NA	NA	NA	NA	2.4	3.33	"uM BaP"	2.87	0.465
"20 uM BaP"	"Resistin"	NA	NA	NA	NA	0	0	"uM BaP"	0	0
